Degree,Specialization,state_abbr,12percentage,Specialization_Degree,Performance_Bin,Performance_Specialization,Degree_State,12percentage_normalized
B.Tech/B.E.,electronics and electrical engineering, TAS,0.5181483904441789,electronics and electrical engineering_B.Tech/B.E.,70-80,70-80_electronics and electrical engineering,B.Tech/B.E._ TAS,0.5181483904441789
B.Tech/B.E.,mechanical engineering, WA,0.5903358974937402,mechanical engineering_B.Tech/B.E.,70-80,70-80_mechanical engineering,B.Tech/B.E._ WA,0.5903358974937402
B.Tech/B.E.,computer science & engineering, ACT,0.5993593358749353,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ ACT,0.5993593358749353
B.Tech/B.E.,computer science & engineering, TAS,0.6498905908096281,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ TAS,0.6498905908096281
B.Tech/B.E.,computer engineering, ACT,0.5632655823501546,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ ACT,0.5632655823501546
B.Tech/B.E.,computer science & engineering, WA,0.7184687225067111,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ WA,0.7184687225067111
B.Tech/B.E.,electronics and communication engineering, TAS,0.81411716934738,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ TAS,0.81411716934738
B.Tech/B.E.,computer engineering, ACT,0.5740937084075887,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ ACT,0.5740937084075887
B.Tech/B.E.,computer engineering, WA,0.7689999774414041,computer engineering_B.Tech/B.E.,80-100,80-100_computer engineering,B.Tech/B.E._ WA,0.7689999774414041
B.Tech/B.E.,computer engineering, NT,0.5452187055877643,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ NT,0.5452187055877643
MCA,computer application, TAS,0.5632655823501546,computer application_MCA,70-80,70-80_computer application,MCA_ TAS,0.5632655823501546
B.Tech/B.E.,computer engineering, ACT,0.9476640573890681,computer engineering_B.Tech/B.E.,80-100,80-100_computer engineering,B.Tech/B.E._ ACT,0.9476640573890681
B.Tech/B.E.,computer science & engineering, NT,0.5903358974937402,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ NT,0.5903358974937402
B.Tech/B.E.,electronics and electrical engineering, VIC,0.9314218683029168,electronics and electrical engineering_B.Tech/B.E.,80-100,80-100_electronics and electrical engineering,B.Tech/B.E._ VIC,0.9314218683029168
B.Tech/B.E.,electronics and communication engineering, NT,0.7689999774414041,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ NT,0.7689999774414041
B.Tech/B.E.,computer science & engineering, NSW,0.42610931895598847,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ NSW,0.42610931895598847
B.Tech/B.E.,information technology, NT,0.31060930767669037,information technology_B.Tech/B.E.,50-60,50-60_information technology,B.Tech/B.E._ NT,0.31060930767669037
B.Tech/B.E.,computer engineering, VIC,0.5136366712535813,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ VIC,0.5136366712535813
B.Tech/B.E.,information technology, WA,0.9476640573890681,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ WA,0.9476640573890681
B.Tech/B.E.,electronics and communication engineering, WA,0.5632655823501546,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ WA,0.5632655823501546
B.Tech/B.E.,chemical engineering, WA,0.458593697128291,chemical engineering_B.Tech/B.E.,60-70,60-70_chemical engineering,B.Tech/B.E._ WA,0.458593697128291
B.Tech/B.E.,computer engineering, NSW,0.5596562069976766,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ NSW,0.5596562069976766
B.Tech/B.E.,computer science & engineering, NSW,0.815921857023619,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ NSW,0.815921857023619
B.Tech/B.E.,electronics and communication engineering, VIC,0.639062464752194,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ VIC,0.639062464752194
B.Tech/B.E.,information technology, VIC,0.5632655823501546,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ VIC,0.5632655823501546
B.Tech/B.E.,computer engineering, NT,0.7509531006790139,computer engineering_B.Tech/B.E.,80-100,80-100_computer engineering,B.Tech/B.E._ NT,0.7509531006790139
MCA,computer application, WA,0.5298788603397327,computer application_MCA,70-80,70-80_computer application,MCA_ WA,0.5298788603397327
B.Tech/B.E.,electronics and communication engineering, SA,0.6083827742561304,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ SA,0.6083827742561304
B.Tech/B.E.,electronics & telecommunications, NSW,0.5091249520629838,electronics & telecommunications_B.Tech/B.E.,70-80,70-80_electronics & telecommunications,B.Tech/B.E._ NSW,0.5091249520629838
B.Tech/B.E.,information technology, TAS,0.31060930767669037,information technology_B.Tech/B.E.,50-60,50-60_information technology,B.Tech/B.E._ TAS,0.31060930767669037
B.Tech/B.E.,electronics and electrical engineering, QLD,0.3827968147262516,electronics and electrical engineering_B.Tech/B.E.,60-70,60-70_electronics and electrical engineering,B.Tech/B.E._ QLD,0.3827968147262516
B.Tech/B.E.,computer engineering, WA,0.5060569830133773,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ WA,0.5060569830133773
B.Tech/B.E.,electronics and communication engineering, NT,0.6534999661621063,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ NT,0.6534999661621063
B.Tech/B.E.,electronics and communication engineering, QLD,0.6607187168670624,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ QLD,0.6607187168670624
B.Tech/B.E.,computer engineering, TAS,0.7401249746215796,computer engineering_B.Tech/B.E.,80-100,80-100_computer engineering,B.Tech/B.E._ TAS,0.7401249746215796
B.Tech/B.E.,information technology, NSW,0.5150804213945724,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ NSW,0.5150804213945724
B.Tech/B.E.,electronics and communication engineering, NSW,0.6571093415145842,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ NSW,0.6571093415145842
B.Tech/B.E.,electronics and electrical engineering, WA,0.40084369148864185,electronics and electrical engineering_B.Tech/B.E.,60-70,60-70_electronics and electrical engineering,B.Tech/B.E._ WA,0.40084369148864185
B.Tech/B.E.,information technology, SA,0.49107807530059333,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ SA,0.49107807530059333
MCA,computer application, SA,0.6246249633422817,computer application_MCA,70-80,70-80_computer application,MCA_ SA,0.6246249633422817
B.Tech/B.E.,electronics and communication engineering, VIC,0.9242031175979607,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ VIC,0.9242031175979607
MCA,computer application, VIC,0.20232804710234853,computer application_MCA,50-60,50-60_computer application,MCA_ VIC,0.20232804710234853
B.Tech/B.E.,electronics and communication engineering, SA,0.8309007647364027,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ SA,0.8309007647364027
B.Tech/B.E.,information technology, VIC,0.4369374450134226,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ VIC,0.4369374450134226
B.Tech/B.E.,computer science & engineering, TAS,0.6895937196868868,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ TAS,0.6895937196868868
B.Tech/B.E.,information technology, NSW,0.5127343274154618,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ NSW,0.5127343274154618
B.Tech/B.E.,electronics and communication engineering, NSW,0.6065780865798914,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ NSW,0.6065780865798914
B.Tech/B.E.,mechanical and automation, NSW,0.18428117033995828,mechanical and automation_B.Tech/B.E.,50-60,50-60_mechanical and automation,B.Tech/B.E._ NSW,0.18428117033995828
B.Tech/B.E.,computer engineering, NT,0.6576507478174559,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ NT,0.6576507478174559
B.Tech/B.E.,electronics and communication engineering, VIC,0.7978749802612285,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ VIC,0.7978749802612285
B.Tech/B.E.,information technology, NT,0.33948431049651495,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ NT,0.33948431049651495
B.Tech/B.E.,computer science & engineering, NT,0.31060930767669037,computer science & engineering_B.Tech/B.E.,50-60,50-60_computer science & engineering,B.Tech/B.E._ NT,0.31060930767669037
B.Tech/B.E.,electronics and communication engineering, ACT,0.8953281147781363,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ ACT,0.8953281147781363
B.Tech/B.E.,computer engineering, TAS,0.5562273004128223,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ TAS,0.5562273004128223
B.Tech/B.E.,electronics and communication engineering, VIC,0.884499988720702,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ VIC,0.884499988720702
B.Tech/B.E.,electronics and communication engineering, TAS,0.41167181754607596,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ TAS,0.41167181754607596
B.Tech/B.E.,electronics & telecommunications, WA,0.6354530893997158,electronics & telecommunications_B.Tech/B.E.,70-80,70-80_electronics & telecommunications,B.Tech/B.E._ WA,0.6354530893997158
B.Tech/B.E.,computer science & engineering, TAS,0.4188905682510321,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ TAS,0.4188905682510321
B.Tech/B.E.,information technology, NT,0.36474993796386135,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ NT,0.36474993796386135
B.Tech/B.E.,electronics & telecommunications, QLD,0.6174062126373255,electronics & telecommunications_B.Tech/B.E.,70-80,70-80_electronics & telecommunications,B.Tech/B.E._ QLD,0.6174062126373255
B.Tech/B.E.,civil engineering, ACT,0.5993593358749353,civil engineering_B.Tech/B.E.,70-80,70-80_civil engineering,B.Tech/B.E._ ACT,0.5993593358749353
B.Tech/B.E.,electronics and electrical engineering, QLD,0.4730311985382031,electronics and electrical engineering_B.Tech/B.E.,60-70,60-70_electronics and electrical engineering,B.Tech/B.E._ QLD,0.4730311985382031
MCA,computer application, QLD,0.4080624421935982,computer application_MCA,60-70,60-70_computer application,MCA_ QLD,0.4080624421935982
B.Tech/B.E.,electronics and electrical engineering, NT,0.7870468542037946,electronics and electrical engineering_B.Tech/B.E.,80-100,80-100_electronics and electrical engineering,B.Tech/B.E._ NT,0.7870468542037946
B.Tech/B.E.,computer engineering, QLD,0.46581244783324693,computer engineering_B.Tech/B.E.,60-70,60-70_computer engineering,B.Tech/B.E._ QLD,0.46581244783324693
MCA,computer application, TAS,0.2203749238647389,computer application_MCA,50-60,50-60_computer application,MCA_ TAS,0.2203749238647389
B.Tech/B.E.,information technology, NT,0.4369374450134226,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ NT,0.4369374450134226
B.Tech/B.E.,information science engineering, QLD,0.31060930767669037,information science engineering_B.Tech/B.E.,50-60,50-60_information science engineering,B.Tech/B.E._ QLD,0.31060930767669037
B.Tech/B.E.,mechanical engineering, ACT,0.5307812041778522,mechanical engineering_B.Tech/B.E.,70-80,70-80_mechanical engineering,B.Tech/B.E._ ACT,0.5307812041778522
B.Tech/B.E.,electronics and communication engineering, WA,0.3467030612014711,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ WA,0.3467030612014711
B.Tech/B.E.,computer science & engineering, NT,0.6895937196868868,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ NT,0.6895937196868868
B.Tech/B.E.,electronics and communication engineering, VIC,0.3286561844390806,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ VIC,0.3286561844390806
B.Tech/B.E.,computer science & engineering, SA,0.6426718401046722,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ SA,0.6426718401046722
B.Tech/B.E.,computer science & engineering, NSW,0.707640596449277,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ NSW,0.707640596449277
B.Tech/B.E.,electronics and communication engineering, TAS,0.4369374450134226,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ TAS,0.4369374450134226
B.Tech/B.E.,computer engineering, SA,0.9404453066841122,computer engineering_B.Tech/B.E.,80-100,80-100_computer engineering,B.Tech/B.E._ SA,0.9404453066841122
B.Tech/B.E.,electronics and communication engineering, VIC,0.761781226736448,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ VIC,0.761781226736448
B.Tech/B.E.,computer science & engineering, NSW,0.6498905908096281,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ NSW,0.6498905908096281
B.Tech/B.E.,computer science & engineering, NT,0.815921857023619,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ NT,0.815921857023619
B.Tech/B.E.,electronics and communication engineering, NSW,0.7365155992691014,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ NSW,0.7365155992691014
B.Tech/B.E.,electronics and communication engineering, QLD,0.4838593245956372,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ QLD,0.4838593245956372
MCA,computer application, NSW,0.3439960296871124,computer application_MCA,60-70,60-70_computer application,MCA_ NSW,0.3439960296871124
B.Tech/B.E.,biotechnology, SA,0.6643280922195401,biotechnology_B.Tech/B.E.,70-80,70-80_biotechnology,B.Tech/B.E._ SA,0.6643280922195401
B.Tech/B.E.,computer science & engineering, VIC,0.40445306684112003,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ VIC,0.40445306684112003
M.Tech./M.E.,instrumentation and control engineering, NT,0.33948431049651495,instrumentation and control engineering_M.Tech./M.E.,60-70,60-70_instrumentation and control engineering,M.Tech./M.E._ NT,0.33948431049651495
B.Tech/B.E.,electronics and communication engineering, ACT,0.9927812492950437,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ ACT,0.9927812492950437
B.Tech/B.E.,information technology, VIC,0.40084369148864185,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ VIC,0.40084369148864185
B.Tech/B.E.,computer science & engineering, TAS,0.37070540729545,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ TAS,0.37070540729545
B.Tech/B.E.,computer science & engineering, ACT,0.761781226736448,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ ACT,0.761781226736448
B.Tech/B.E.,computer science & engineering, QLD,0.7437343499740577,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ QLD,0.7437343499740577
B.Tech/B.E.,electrical engineering, VIC,0.815921857023619,electrical engineering_B.Tech/B.E.,80-100,80-100_electrical engineering,B.Tech/B.E._ VIC,0.815921857023619
B.Tech/B.E.,information technology, NSW,0.31060930767669037,information technology_B.Tech/B.E.,50-60,50-60_information technology,B.Tech/B.E._ NSW,0.31060930767669037
B.Tech/B.E.,electronics & telecommunications, NSW,0.584921834465023,electronics & telecommunications_B.Tech/B.E.,70-80,70-80_electronics & telecommunications,B.Tech/B.E._ NSW,0.584921834465023
B.Tech/B.E.,computer engineering, NT,0.3286561844390806,computer engineering_B.Tech/B.E.,60-70,60-70_computer engineering,B.Tech/B.E._ NT,0.3286561844390806
B.Tech/B.E.,computer science & engineering, NT,0.45498432177581283,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ NT,0.45498432177581283
B.Tech/B.E.,computer science & engineering, SA,0.8953281147781363,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ SA,0.8953281147781363
B.Tech/B.E.,electronics and communication engineering, ACT,0.7301991924022649,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ ACT,0.7301991924022649
MCA,computer application, NSW,0.5271718288253741,computer application_MCA,70-80,70-80_computer application,MCA_ NSW,0.5271718288253741
B.Tech/B.E.,electronics and electrical engineering, NSW,0.5145390150917007,electronics and electrical engineering_B.Tech/B.E.,70-80,70-80_electronics and electrical engineering,B.Tech/B.E._ NSW,0.5145390150917007
B.Tech/B.E.,computer science & engineering, ACT,0.48801010625098706,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ ACT,0.48801010625098706
B.Tech/B.E.,mechanical engineering, ACT,0.7653906020889262,mechanical engineering_B.Tech/B.E.,80-100,80-100_mechanical engineering,B.Tech/B.E._ ACT,0.7653906020889262
B.Tech/B.E.,electronics and communication engineering, VIC,0.9135554603081503,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ VIC,0.9135554603081503
B.Tech/B.E.,electronics and communication engineering, WA,0.5271718288253741,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ WA,0.5271718288253741
B.Tech/B.E.,electronics and communication engineering, WA,0.4441561957183787,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ WA,0.4441561957183787
B.Tech/B.E.,mechanical engineering, QLD,0.2925624309143001,mechanical engineering_B.Tech/B.E.,50-60,50-60_mechanical engineering,B.Tech/B.E._ QLD,0.2925624309143001
B.Tech/B.E.,electronics & instrumentation eng, NSW,0.29978118161925627,electronics & instrumentation eng_B.Tech/B.E.,50-60,50-60_electronics & instrumentation eng,B.Tech/B.E._ NSW,0.29978118161925627
B.Tech/B.E.,computer science & engineering, ACT,0.7437343499740577,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ ACT,0.7437343499740577
B.Tech/B.E.,electronics and communication engineering, NSW,0.4188905682510321,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ NSW,0.4188905682510321
B.Tech/B.E.,computer science & engineering, WA,0.6955491890184756,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ WA,0.6955491890184756
B.Tech/B.E.,electronics and communication engineering, SA,0.847503891357802,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ SA,0.847503891357802
B.Tech/B.E.,computer science & engineering, WA,0.707640596449277,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ WA,0.707640596449277
B.Tech/B.E.,computer science & engineering, WA,0.5271718288253741,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ WA,0.5271718288253741
B.Tech/B.E.,mechanical engineering, NT,0.5632655823501546,mechanical engineering_B.Tech/B.E.,70-80,70-80_mechanical engineering,B.Tech/B.E._ NT,0.5632655823501546
B.Tech/B.E.,electrical engineering, NSW,0.6065780865798914,electrical engineering_B.Tech/B.E.,70-80,70-80_electrical engineering,B.Tech/B.E._ NSW,0.6065780865798914
B.Tech/B.E.,electronics and communication engineering, NT,0.3322655597915588,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ NT,0.3322655597915588
B.Tech/B.E.,computer engineering, TAS,0.5993593358749353,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ TAS,0.5993593358749353
B.Tech/B.E.,electronics & telecommunications, ACT,0.798777324099348,electronics & telecommunications_B.Tech/B.E.,80-100,80-100_electronics & telecommunications,B.Tech/B.E._ ACT,0.798777324099348
B.Tech/B.E.,electronics and communication engineering, NSW,0.31060930767669037,electronics and communication engineering_B.Tech/B.E.,50-60,50-60_electronics and communication engineering,B.Tech/B.E._ NSW,0.31060930767669037
B.Tech/B.E.,computer science & engineering, WA,0.6895937196868868,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ WA,0.6895937196868868
B.Tech/B.E.,electronics and communication engineering, NT,0.6029687112274132,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ NT,0.6029687112274132
B.Tech/B.E.,electronics and communication engineering, SA,0.31060930767669037,electronics and communication engineering_B.Tech/B.E.,50-60,50-60_electronics and communication engineering,B.Tech/B.E._ SA,0.31060930767669037
B.Tech/B.E.,electronics and communication engineering, SA,0.8411874844909654,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ SA,0.8411874844909654
B.Tech/B.E.,instrumentation and control engineering, ACT,0.6318437140472378,instrumentation and control engineering_B.Tech/B.E.,70-80,70-80_instrumentation and control engineering,B.Tech/B.E._ ACT,0.6318437140472378
B.Tech/B.E.,electronics and communication engineering, NSW,0.707640596449277,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ NSW,0.707640596449277
B.Tech/B.E.,computer engineering, NSW,0.5271718288253741,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ NSW,0.5271718288253741
B.Tech/B.E.,computer science & engineering, ACT,0.7798281034988382,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ ACT,0.7798281034988382
B.Tech/B.E.,information technology, WA,0.5740937084075887,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ WA,0.5740937084075887
B.Tech/B.E.,information technology, ACT,0.5632655823501546,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ ACT,0.5632655823501546
B.Tech/B.E.,electronics and communication engineering, NT,0.7581718513839698,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ NT,0.7581718513839698
B.Tech/B.E.,information technology, NSW,0.5704843330551109,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ NSW,0.5704843330551109
B.Tech/B.E.,information technology, WA,0.9002007715039816,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ WA,0.9002007715039816
B.Tech/B.E.,information technology, QLD,0.6769609059532135,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ QLD,0.6769609059532135
B.Tech/B.E.,information technology, QLD,0.5632655823501546,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ QLD,0.5632655823501546
B.Tech/B.E.,electronics and communication engineering, VIC,0.9043515531593315,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ VIC,0.9043515531593315
B.Tech/B.E.,electronics and communication engineering, QLD,0.48024994924315945,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ QLD,0.48024994924315945
B.Tech/B.E.,electronics and communication engineering, TAS,0.48024994924315945,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ TAS,0.48024994924315945
B.Tech/B.E.,computer engineering, VIC,0.3286561844390806,computer engineering_B.Tech/B.E.,60-70,60-70_computer engineering,B.Tech/B.E._ VIC,0.3286561844390806
B.Tech/B.E.,computer science & engineering, NT,0.4080624421935982,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ NT,0.4080624421935982
B.Tech/B.E.,information technology, SA,0.40084369148864185,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ SA,0.40084369148864185
B.Tech/B.E.,computer engineering, VIC,0.2456405513320853,computer engineering_B.Tech/B.E.,50-60,50-60_computer engineering,B.Tech/B.E._ VIC,0.2456405513320853
B.Tech/B.E.,electronics and electrical engineering, NT,0.6895937196868868,electronics and electrical engineering_B.Tech/B.E.,80-100,80-100_electronics and electrical engineering,B.Tech/B.E._ NT,0.6895937196868868
B.Tech/B.E.,information technology, NSW,0.3286561844390806,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ NSW,0.3286561844390806
B.Tech/B.E.,electronics and electrical engineering, ACT,0.3430936858489929,electronics and electrical engineering_B.Tech/B.E.,60-70,60-70_electronics and electrical engineering,B.Tech/B.E._ ACT,0.3430936858489929
B.Tech/B.E.,computer science & engineering, ACT,0.6607187168670624,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ ACT,0.6607187168670624
B.Tech/B.E.,electronics & telecommunications, NT,0.5392632362561757,electronics & telecommunications_B.Tech/B.E.,70-80,70-80_electronics & telecommunications,B.Tech/B.E._ NT,0.5392632362561757
B.Tech/B.E.,electronics and communication engineering, QLD,0.707640596449277,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ QLD,0.707640596449277
B.Tech/B.E.,electronics and communication engineering, SA,0.942249994360351,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ SA,0.942249994360351
M.Tech./M.E.,computer science & engineering, WA,0.7798281034988382,computer science & engineering_M.Tech./M.E.,80-100,80-100_computer science & engineering,M.Tech./M.E._ WA,0.7798281034988382
B.Tech/B.E.,civil engineering, SA,0.5903358974937402,civil engineering_B.Tech/B.E.,70-80,70-80_civil engineering,B.Tech/B.E._ SA,0.5903358974937402
B.Tech/B.E.,electronics and communication engineering, SA,0.6354530893997158,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ SA,0.6354530893997158
B.Tech/B.E.,computer science & engineering, QLD,0.2672968034469537,computer science & engineering_B.Tech/B.E.,50-60,50-60_computer science & engineering,B.Tech/B.E._ QLD,0.2672968034469537
B.Tech/B.E.,information technology, WA,0.8267499830810531,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ WA,0.8267499830810531
B.Tech/B.E.,mechanical engineering, NT,0.9458593697128291,mechanical engineering_B.Tech/B.E.,80-100,80-100_mechanical engineering,B.Tech/B.E._ NT,0.9458593697128291
B.Tech/B.E.,industrial & management engineering, NT,0.7256874732116673,industrial & management engineering_B.Tech/B.E.,80-100,80-100_industrial & management engineering,B.Tech/B.E._ NT,0.7256874732116673
B.Tech/B.E.,computer science & engineering, NSW,0.5343905795303302,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ NSW,0.5343905795303302
B.Tech/B.E.,electronics and communication engineering, SA,0.5271718288253741,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ SA,0.5271718288253741
MCA,computer application, WA,0.458593697128291,computer application_MCA,60-70,60-70_computer application,MCA_ WA,0.458593697128291
B.Tech/B.E.,computer science & engineering, TAS,0.5760788648514515,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ TAS,0.5760788648514515
